AARON
ABBAS
ABDALLA
ABDALLAH
ABDELKADER
ABDUL
ABDULLA
ABDULLAH
ABDULRAHMAN
ABIJÁŠ
ABRAHAM
ABRAHÁM
ADALBERT
ADAM
ÁDÁM
ADEM
ADHAM
ADIL
ADNAN
ADOLF
ADONIS
ADRIÁN
ADRIANO
AĎO
AFRIM
AGIM
AGUSTIN
AHMAD
AHMED
AHMET
ACHILEAS
ACHILLE
ACHILLEAS
ACHMED
AKIM
AKRAM
ALADAR
ALADÁR
ALAIN
ALAN
ALBAN
ALBERT
ALBERTO
ALBIN
ALBÍN
ALBRECHT
ALDO
ALEC
ALEJANDRO
ALEK
ALEKOS
ALEKS
ALEKSA
ALEKSANDAR
ALEKSANDER
ALEKSANDR
ALEKSEJ
ALEKSI
ALEN
ALESSANDRO
ALESSIO
ALEŠ
ALEXANDAR
ALEXANDER
ALEXANDR
ALEXANDROS
ALEXANDRU
ALEXEI
ALEXEJ
ALEXEY
ALEXIOS
ALEXIUS
ALFONS
ALFONZ
ALFRED
ALFRÉD
ALFREDO
ALÍ
ALIM
ALJOŠA
ALLAN
ALLEN
ALMIR
ALOIZ
ALOJZ
ALON
ALVIN
AMADOU
AMAR
AMBRÓZ
AMBROŽ
AMEDEO
AMER
AMIN
AMINE
AMIR
AMÍR
ÁMIR
AMITAI
AMJAD
AMMAR
AMNON
AMOS
ÁMOS
AMR
ANAKIN
ANAR
ANAS
ANASTASIOS
ANASTASIS
ANATOL
ANATOLI
ANATOLIJ
ANDĚLÍN
ANDĚLOSLAV
ANDONIS
ANDOR
ANDRANIK
ANDRÁS
ANDRE
ANDREAS
ANDREI
ANDREJ
ANDRES
ANDRÉS
ANDREW
ANDREY
ANDRIAN
ANDRIJ
ANDRIJA
ANDRO
ANDRZEJ
ANESTIS
ANGELO
ANH DUC
ANIS
ANSELM
ANTAL
ANTHONY
ANTOINE
ANTON
ANTONI
ANTONIN
ANTONÍN
ANTONINO
ANTONIO
ANTÓNIO
ANTONIOS
ANTONIS
ANTONY
APOSTOLOS
ARAM
ARBEN
ARBËR
ARBI
ARDIAN
AREN
ARCHIE
ARI
ARIE
ARIF
ARIJAN
ARIS
ARISTIDIS
ARISTOTELIS
ARKADIJ
ARKADIUSZ
ARMAN
ARMAND
ARMANDO
ARMEN
ARMEND
ARMIN
ARMÍN
ARNE
ARNO
ARNOLD
ARNOŠT
ARNULF
ARON
ÁRON
ARPAD
ARPÁD
ÁRPÁD
ARSEN
ARSENIJ
ARTAK
ARTAN
ARTEM
ARTĚM
ARTEMIJ
ARTHUR
ARTIOM
ARTJOM
ARŤOM
ARTUR
ARTUŠ
ARTYOM
ARVID
ARYAN
ASAD
ASAF
ASEN
ASHER
ASLAN
ASSAF
AŠOT
ATANAS
ATANASIOS
ATANASIS
ATHANASIOS
ATILA
ATREY
ATTILA
ATTILIO
AUGUST
AUGUSTIN
AUGUSTÍN
AUGUSTO
AUGUSTÝN
AUREL
AURELIAN
AURELIÁN
AURELIO
AUSTIN
AVI
AVNER
AYAN
AYDEN
AYMAN
AYOUB
AZAT
AZIZ
BACH
BALTAZAR
BAO NAM
BARABÁŠ
BARAK
BARNABÁŠ
BART
BARTŁOMIEJ
BARTOLOMEJ
BARTOLOMĚJ
BARUCH
BASHAR
BASIL
BASSAM
BASTIAN
BASTIEN
BEDRICH
BEDŘICH
BEKIM
BÉLA
BELO
BEN
BENEDICT
BENEDIKT
BENEŠ
BENET
BENIAMIN
BENITO
BENJAMIN
BENJAMÍN
BENNET
BENNO
BENO
BENYAMIN
BERNARD
BERNARDO
BERND
BERNHARD
BERT
BERTHOLD
BERTOLD
BERTRAM
BESIM
BILAL
BILGUUN
BINYAMIN
BIVOJ
BJÖRN
BLAHOMIL
BLAHOMÍR
BLAHOSLAV
BLAŽEJ
BOAZ
BOB
BOBEŠ
BOGDAN
BOGUSŁAW
BOHDAN
BOHOUŠ
BOHUMIL
BOHUMÍL
BOHUMÍR
BOHUSLAV
BOHUŠ
BOJISLAV
BOLEK
BOLESLAV
BOLESŁAW
BONIFÁC
BOREK
BORIS
BORISLAV
BORNA
BORYS
BOŘEK
BOŘÍK
BOŘISLAV
BOŘIVOJ
BOŽEJ
BOŽEK
BOŽETĚCH
BOŽIDAR
BOŽÍK
BOŽISLAV
BRADLEY
BRANDON
BRANISLAV
BRANKO
BRAYEN
BRIAN
BRONĚK
BRONISLAV
BRONISŁAW
BRUCE
BRUNO
BRYAN
BŘENĚK
BŘETISLAV
BYSTRÍK
CALVIN
CAMILO
CARL
CARLO
CARLOS
CEDRIC
CÉDRIC
CEDRIK
CELESTIN
CELESTÝN
CLARK
CLAUDIO
COLIN
COLLIN
CONG THANH
CONNOR
CONOR
CONSTANTIN
COREY
CORRADO
CRISTIAN
CRISTIÁN
CRISTIANO
CSABA
CTIBOR
CTIMÍR
CTIRAD
CTISLAV
CUONG
CVETAN
CVETKO
CYPRIAN
CYPRIÁN
CYRIL
CYRILL
CZESLAW
CZESŁAW
ČENĚK
ČESLAV
ČESTMÍR
DAG
DAGOBERT
DALIBOR
DALIMIL
DALIMÍR
DAMIÁN
DAMIANO
DAMIEN
DAMIJAN
DAMIR
DAMÍR
DAMJAN
DAMON
DANČO
DANE
DANEŠ
DANI
DANIAL
DANIËL
DÁNIEL
DANIELE
DANIIL
DANIJEL
DANIL
DANILO
DANIS
DANKO
DANTE
DANYLO
DAREK
DAREN
DARIO
DARÍO
DARIS
DARIUS
DÁRIUS
DARIUSZ
DARKO
DARREN
DAT
DAVE
DÁVID
DAVIT
DAVOR
DAWID
DEJAN
DEMETR
DEMIAN
DEMIR
DENI
DENIEL
DENIS
DĚNIS
DENNIS
DEREK
DERIK
DERRICK
DESIDER
DESIDERIUS
DETLEF
DĚTMAR
DĚTŘICH
DEXTER
DEZIDER
DEZIDÉR
DIEGO
DIETER
DIETMAR
DIMITAR
DIMITR
DIMITRI
DIMITRIJ
DIMITRIJE
DIMITRIOS
DIMITRIS
DIMO
DINO
DION
DIONIS
DIONÝZ
DIRK
DITMAR
DIVIŠ
DJORDJE
DMITRI
DMITRIJ
DMITRY
DMYTRIJ
DMYTRO
DOBROMIL
DOBROMYSL
DOBROMÍR
DOBROSLAV
DOMENICO
DOMINIC
DOMINICK
DOMINIK
DOMINÍK
DONALD
DONE
DONOVAN
DOR
DORIÁN
DOTAN
DRAGAN
DRAGOSLAV
DRAGUTIN
DRAHOMIL
DRAHOMÍR
DRAHOŇ
DRAHOSLAV
DRAHOŠ
DRAHOTÍN
DROR
DUC DUY
DUC MANH
DULGUUN
DUMITRU
DUSTIN
DUŠAN
DUŠKO
DYLAN
EBERHARD
ED
EDDIE
EDGAR
EDGARD
EDIN
EDIS
EDMOND
EDMUND
EDOARDO
EDON
EDOUARD
EDUARD
EDUÁRD
EDUARDO
EDVARD
EDVIN
EDVÍN
EDWARD
EDWIN
EFRAIM
EGON
EGOR
EHUD
EILON
EINAR
EITAN
ELAD
ELDAR
ELEMÉR
ELEMÍR
ELIÁN
ELÍAS
ELIÁŠ
ELIEN
ELIEZER
ELIJAH
ELIJÁŠ
ELIO
ELION
ELIOT
ELMAR
ELON
ELOY
ELVIN
ELVIR
ELVIS
ELYES
EMAD
EMAN
EMANUEL
EMERICH
EMIL
EMILIAN
EMILIÁN
EMILIANO
EMILIO
EMÍLIO
EMIN
EMIR
EMMANUEL
EMMET
EMMETT
ENES
ENGELBERT
ENOCH
ENRICO
ENRIKO
ENRIQUE
ENVER
ENZO
ERAN
ERAZIM
EREZ
ERHARD
ERHART
ERIC
ERICK
ERICH
ERIK
ERNEST
ERNESTO
ERNST
EROL
EROS
ERVIN
ERVÍN
ERWIN
ERYK
ESTEBAN
ETHAN
ETIEN
ETIENNE
ÉTIENNE
EUGEN
EUGENIO
EUGENIU
EUGENIUSZ
EUSTACH
EVALD
EVANGELOS
EVGENIJ
EVGENY
EVYATAR
EVŽEN
EWALD
EYAD
EYAL
EZECHIEL
EZIO
FABIAN
FABIÁN
FABIANO
FABIEN
FABIO
FABRICIO
FABRIZIO
FADI
FADY
FAISAL
FARES
FARID
FARIS
FÁRIS
FARUK
FATHI
FATMIR
FEDERICO
FEDIR
FEDOR
FELICIÁN
FELIPE
FELIX
FÉLIX
FEODOR
FERDINAND
FERENC
FERNANDO
FILIP
FILIPP
FILIPPO
FILIPPOS
FIRAS
FJODOR
FLAVIO
FLORENTIN
FLORIAN
FLORIÁN
FOTIS
FRANCESCO
FRANCISC
FRANCISCO
FRANCISZEK
FRANCO
FRANCOIS
FRANÇOIS
FRANK
FRANKO
FRANTIŠEK
FRANTÍŠEK
FRANZ
FRED
FREDERIC
FRÉDÉRIC
FREDERICK
FREDERICO
FREDERIK
FREDY
FRIDOLIN
FRIDOLÍN
FRIDRICH
FRIEDRICH
FRITZ
FRYDERYK
FUAD
GÁBOR
GAD
